property,type,cardinality,definition,vocabulary,maturity,sensitivity,category,age_applicability,valid_instruments
identifiers,concept:Identifier,multiple,"Identifiers carried by this entity, such as national ID numbers, program IDs, or identifiers asserted by an identity document.",,normative,,identity,,
metric,uri,single,The URI of the Metric this observation reports a value against.,,candidate,,,,
period,concept:metrics/Period,single,The temporal coverage of this observation.,,candidate,,,,
dimension_values,concept:metrics/DimensionValue,multiple,"The ordered list of {dimension_uri, code} pairs that locate this observation in the metric's DSD. Ordering matches Metric.dimensions; every dimension declared on the Metric must have a value on every observation (W3C Data Cube integrity constraint IC-11).
",,candidate,,,,
metric_value,number,single,"The numeric value reported by this observation. Scale is fixed by Metric.unit and Metric.multiplier: for value_type proportion with unit unitless, the value is in 0..1; with unit PT, the value is in 0..100. The observation cannot override scale.
",,candidate,,,,
attribute_values,concept:metrics/AttributeValue,multiple,"The list of {attribute_uri, value} pairs that decorate this observation, series, or dataset. When UNIT_MEASURE appears here, it must equal Metric.unit.
",,candidate,,,,
calculation_uri,uri,single,The URI of the MetricCalculation definition this observation realises.,,candidate,,,,
execution_uri,uri,single,"Optional URI of an execution record (provenance: software agent, run timestamp, parameter set). Light PROV-O alignment recommended; full execution-provenance shape is deferred.
",,candidate,,,,
