property,type,cardinality,definition,vocabulary,maturity,sensitivity,category,age_applicability,valid_instruments
scoring,string,single,"The scoring method applied by this calculation. Mirrors FHIR R5 Measure.scoring: proportion, ratio, continuous-variable, cohort. Authors validate the populations against this value at schema-load time.
",scoring-method,candidate,,,,
subject_class,uri,single,"The PublicSchema class URI whose records the populations select over (for example, publicschema:Person or publicschema:Enrollment). Diverges from FHIR Measure.subject[x], which is CodeableConcept | Reference(Group); PublicSchema subjects are PS class URIs.
",,candidate,,,,
populations,concept:metrics/PopulationCriterion,multiple,"The ordered list of PopulationCriterion records that select records for the numerator, denominator, exclusions, exceptions, and the per-record observation in a continuous-variable scoring method.",,candidate,,,,
stratifiers,concept:metrics/Stratifier,multiple,The list of Stratifier expressions evaluated against the populations of this calculation.,,candidate,,,,
rate_aggregation,string,single,"How per-stratum rates are aggregated back to a single metric value: average, sum, or none (report per-stratum only).
",rate-aggregation,candidate,,,,
improvement_notation,string,single,"Whether an increase in the metric value is desirable, undesirable, or policy-dependent. Extends FHIR R5 Measure.improvementNotation with policy_dependent for non-clinical metrics (e.g., expenditure-to-GDP ratios where the desirable direction depends on policy framing).
",improvement-notation,candidate,,,,
libraries,uri,multiple,"HTTPS-dereferenceable library URIs hosting reusable criteria definitions referenced by @ref:LibraryName.Symbol expressions in the calculation. PublicSchema recommends content-addressed URIs so a metric's calculation is bit-stable across publications.
",,candidate,,,,
